,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,IDENTIFIER,
"4136,13-26-0220-46,13-043,HUEHUETENANGO,SANTA CRUZ BARILLAS,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA,""2A. CALLE 6-35, ZONA 6, CABECERA MUNICIPAL"",30429444,ARACELY FIGUEROA URBINA,ALBERTO EFRAIN RAMÓN DIEGO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIOREGULAR,HUEHUETENANGO,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA | ABIERTA | DIARIOREGULAR | BILINGUE | VESPERTINA | HUEHUETENANGO,",,,,,,,,,,,,,,,,,,,
"4137,13-26-0221-46,13-043,HUEHUETENANGO,SANTA CRUZ BARILLAS,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA,""2A. CALLE 6-35, ZONA 6, CABECERA MUNICIPAL"",30429444,ARACELY FIGUEROA URBINA,ALBERTO EFRAIN RAMÓN DIEGO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN_DE_SEMANA,HUEHUETENANGO,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA | ABIERTA | FIN_DE_SEMANA | MONOLINGUE | DOBLE | HUEHUETENANGO,",,,,,,,,,,,,,,,,,,,
3974,13-07-0045-46,13-051,HUEHUETENANGO,JACALTENANGO,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG,ALDEA CHEJBAL,40839394,SEBASTIÁN PRUDENCIO HERNÁNDEZ CÁRDENAS,JESÚS ERNESTO HERNÁNDEZ ROS,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIOREGULAR,HUEHUETENANGO,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG | ABIERTA | DIARIOREGULAR | BILINGUE | VESPERTINA | HUEHUETENANGO,
4081,13-20-0036-46,13-036,HUEHUETENANGO,SAN SEBASTIAN HUEHUETENANGO,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG,CABECERA MUNICIPAL,48729312,ROSELVET MAGALI PEREZ VASQUEZ DE AVILA,JUAN PASCUAL FRANCISCO LUCAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIOREGULAR,HUEHUETENANGO,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG | ABIERTA | DIARIOREGULAR | BILINGUE | VESPERTINA | HUEHUETENANGO,
3935,13-03-0059-46,13-009,HUEHUETENANGO,MALACATANCITO,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG,XEPON CHIQUITO,40659542,JULIO ESCOBEDO DEL VALLE,PABLO TAYÚN SONTAY,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIOREGULAR,HUEHUETENANGO,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG | ABIERTA | DIARIOREGULAR | MONOLINGUE | VESPERTINA | HUEHUETENANGO,
4043,13-12-6888-46,13-025,HUEHUETENANGO,LA DEMOCRACIA,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG,LA DEMOCRACIA,NA,ABELARDO MEFIBOSET VILLATORO HERRERA,NA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,BILINGUE,DOBLE,FIN_DE_SEMANA,HUEHUETENANGO,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG | ABIERTA | FIN_DE_SEMANA | BILINGUE | DOBLE | HUEHUETENANGO,
"4057,13-17-0056-46,13-030,HUEHUETENANGO,SANTA EULALIA,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG,""CENTRO POLIFUNCIONAL, CANTÓN VISTA HERMOSA"",58781718,JUAN CARLOS MORALES GONZALEZ,PEDRO LEÓN MARCOS,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN_DE_SEMANA,HUEHUETENANGO,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG | ABIERTA | FIN_DE_SEMANA | MONOLINGUE | DOBLE | HUEHUETENANGO,",,,,,,,,,,,,,,,,,,,
4069,13-18-0050-46,13-032,HUEHUETENANGO,SAN MATEO IXTATAN,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG,ALDEA POJOM,46177837,AUGUSTO MANUEL ANDRES SEBASTIAN,OSCAR GÓMEZ TOMÁS,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN_DE_SEMANA,HUEHUETENANGO,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG | ABIERTA | FIN_DE_SEMANA | MONOLINGUE | DOBLE | HUEHUETENANGO,
4082,13-20-0040-46,13-036,HUEHUETENANGO,SAN SEBASTIAN HUEHUETENANGO,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG,CABECERA MUNICIPAL,48506368,ROSELVET MAGALI PEREZ VASQUEZ DE AVILA,JUAN PASCUAL FRANCISCO LUCAS ANTONIO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN_DE_SEMANA,HUEHUETENANGO,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG | ABIERTA | FIN_DE_SEMANA | MONOLINGUE | DOBLE | HUEHUETENANGO,
4067,13-18-0046-46,13-032,HUEHUETENANGO,SAN MATEO IXTATAN,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG,ALDEA POJOM,46177837,AUGUSTO MANUEL ANDRES SEBASTIAN,GASPAR TOMAS SEBASTIÁN,DIVERSIFICADO,PRIVADO,RURAL,CERRADA_TEMPORALMENTE,BILINGUE,VESPERTINA,DIARIOREGULAR,HUEHUETENANGO,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG | CERRADA_TEMPORALMENTE | DIARIOREGULAR | BILINGUE | VESPERTINA | HUEHUETENANGO,
4166,13-28-0016-46,13-034,HUEHUETENANGO,SAN RAFAEL PETZAL,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG,CABECERA MUNICIPAL,40457686,ARTEMIO NOE MORALES VILLATORO,MILDRED ILIANA LÓPEZ DOMINGO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA_TEMPORALMENTE,BILINGUE,VESPERTINA,DIARIOREGULAR,HUEHUETENANGO,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG | CERRADA_TEMPORALMENTE | DIARIOREGULAR | BILINGUE | VESPERTINA | HUEHUETENANGO,
84,16-01-9991-46,16-031,ALTA_VERAPAZ,COBAN,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG,6TA. AVENIDA 1-27 ZONA 4,79520175,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,RURAL,CERRADA_TEMPORALMENTE,BILINGUE,DOBLE,FIN_DE_SEMANA,ALTA VERAPAZ,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG | CERRADA_TEMPORALMENTE | FIN_DE_SEMANA | BILINGUE | DOBLE | ALTA_VERAPAZ,
4055,13-17-0051-46,13-030,HUEHUETENANGO,SANTA EULALIA,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG,CANTON VISTA HERMOSA,45931640,JUAN CARLOS MORALES GONZALEZ,JOSE SEBASTIAN FRANCISCO MATEO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA_TEMPORALMENTE,BILINGUE,DOBLE,FIN_DE_SEMANA,HUEHUETENANGO,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG | CERRADA_TEMPORALMENTE | FIN_DE_SEMANA | BILINGUE | DOBLE | HUEHUETENANGO,
4080,13-20-0035-46,13-036,HUEHUETENANGO,SAN SEBASTIAN HUEHUETENANGO,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG,CABECERA MUNICIPAL,48729312,ROSELVET MAGALI PEREZ VASQUEZ DE AVILA,JUAN PASCUAL FRANCISCO LUCAS,DIVERSIFICADO,PRIVADO,RURAL,CERRADA_TEMPORALMENTE,BILINGUE,DOBLE,FIN_DE_SEMANA,HUEHUETENANGO,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG | CERRADA_TEMPORALMENTE | FIN_DE_SEMANA | BILINGUE | DOBLE | HUEHUETENANGO,
4148,13-26-6891-46,13-046,HUEHUETENANGO,SANTA CRUZ BARILLAS,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG,2A. CALLE 0-27 ZONA 1 BARILLAS,77802323,NELVIN EZEQUIEL CASTILLO LÓPEZ,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA_TEMPORALMENTE,BILINGUE,DOBLE,FIN_DE_SEMANA,HUEHUETENANGO,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG | CERRADA_TEMPORALMENTE | FIN_DE_SEMANA | BILINGUE | DOBLE | HUEHUETENANGO,
4165,13-28-0014-46,13-035,HUEHUETENANGO,SAN RAFAEL PETZAL,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG,CABECERA MUNICIPAL,NA,GEOVANNI ARTURO AGUIRRE CASTILLO,MILDRED ILIANA LOPEZ DOMINGO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA_TEMPORALMENTE,BILINGUE,DOBLE,FIN_DE_SEMANA,HUEHUETENANGO,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG | CERRADA_TEMPORALMENTE | FIN_DE_SEMANA | BILINGUE | DOBLE | HUEHUETENANGO,
3934,13-03-0055-46,13-009,HUEHUETENANGO,MALACATANCITO,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG,ALDEA XEPON CHIQUITO,53013050,JULIO ESCOBEDO DEL VALLE,PABLO TAYUN SONTAY,DIVERSIFICADO,PRIVADO,RURAL,CERRADA_TEMPORALMENTE,MONOLINGUE,DOBLE,FIN_DE_SEMANA,HUEHUETENANGO,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG | CERRADA_TEMPORALMENTE | FIN_DE_SEMANA | MONOLINGUE | DOBLE | HUEHUETENANGO,
,,,,,,,,,,,,,,,,,,,
4066,13-18-0041-46,13-032,HUEHUETENANGO,SAN MATEO IXTATAN,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG,ALDEA POJOM SAN MATEO IXTATÁN,57894383,AUGUSTO MANUEL ANDRES SEBASTIAN,GASPAR TOMAS SEBASTIAN,DIVERSIFICADO,PRIVADO,RURAL,CERRADA_TEMPORALMENTE,MONOLINGUE,DOBLE,FIN_DE_SEMANA,HUEHUETENANGO,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG | CERRADA_TEMPORALMENTE | FIN_DE_SEMANA | MONOLINGUE | DOBLE | HUEHUETENANGO,
4089,13-22-0031-46,13-039,HUEHUETENANGO,CONCEPCION HUISTA,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG,ALDEA SANTIAGO PETZATAN,53865996,JOSÉ DE JESÚS CAMPOSECO MÉNDOZA,LUIS MANUEL RAMIREZ FIGUEROA,DIVERSIFICADO,PRIVADO,RURAL,CERRADA_TEMPORALMENTE,MONOLINGUE,DOBLE,FIN_DE_SEMANA,HUEHUETENANGO,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG | CERRADA_TEMPORALMENTE | FIN_DE_SEMANA | MONOLINGUE | DOBLE | HUEHUETENANGO,
,,,,,,,,,,,,,,,,,,,
"4134,13-26-0206-46,13-043,HUEHUETENANGO,SANTA CRUZ BARILLAS,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG,""2A. CALLE 6-35, ZONA 6"",77802263,ARACELY FIGUEROA URBINA,RAMÓN DIEGO ALBERTO EFRAÍN,DIVERSIFICADO,PRIVADO,URBANA,CERRADA_TEMPORALMENTE,MONOLINGUE,DOBLE,FIN_DE_SEMANA,HUEHUETENANGO,ASOCIACION_DE_MAESTROS_DE_EDUCACION_RURAL_DE_GUATEMALA_AMERG | CERRADA_TEMPORALMENTE | FIN_DE_SEMANA | MONOLINGUE | DOBLE | HUEHUETENANGO,",,,,,,,,,,,,,,,,,,,
5355,09-02-0026-46,09-009,QUETZALTENANGO,SALCAJA,BILINGUAL_SCHOOL_COLEGIO_BILINGUE_DAVID_AUSUBEL,3RA. AVENIDA 4-151 ZONA 2,77687183,GABRIEL CHOX BARRIOS,RENE FERNANDO HERNANDEZ GONZALEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA_TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIOREGULAR,QUETZALTENANGO,BILINGUAL_SCHOOL_COLEGIO_BILINGUE_DAVID_AUSUBEL | CERRADA_TEMPORALMENTE | DIARIOREGULAR | MONOLINGUE | VESPERTINA | QUETZALTENANGO,
1012,00-01-0673-46,01-307,CIUDAD_CAPITAL,ZONA 1,CALEGIO_CATOLICO_SAN_LUCAS,14 CALLE 6-82,22381236,NORMA ARACELY PALOMO FRANCO DE DIAZ,BRENDA ROCSANA CRUZ NAJERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIOREGULAR,GUATEMALA NORTE,CALEGIO_CATOLICO_SAN_LUCAS | ABIERTA | DIARIOREGULAR | MONOLINGUE | MATUTINA | CIUDAD_CAPITAL,
3495,01-15-0522-46,01-216,GUATEMALA,VILLA NUEVA,CDOLEGIO_CRISTIANO_BILINGUE_GENERACION_DE_JOSUE,3 CALLE 13-80 ZONA 1 VILLA NUEVA,66363413,GLADYS IDALMA CHAVARRIA NIJ,MARIA ESTELA MORALES SACU,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIOREGULAR,GUATEMALA SUR,CDOLEGIO_CRISTIANO_BILINGUE_GENERACION_DE_JOSUE | ABIERTA | DIARIOREGULAR | MONOLINGUE | MATUTINA | GUATEMALA,
"6019,03-01-0194-46,03-016,SACATEPEQUEZ,ANTIGUA GUATEMALA,CEEX_ESCUELA_DE_CAFICULTURA_ANTIGUA_COFEE,""FINCA HACIENDA CARMONA, ALDEA SAN JUAN DEL OBISPO"",42176394,IVONE ELIZABETH NAVAS BARRIOS,MARVIN EDUARDO GONZALEZ CARCURZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN_DE_SEMANA,SACATEPÉQUEZ,CEEX_ESCUELA_DE_CAFICULTURA_ANTIGUA_COFEE | ABIERTA | FIN_DE_SEMANA | MONOLINGUE | DOBLE | SACATEPEQUEZ,",,,,,,,,,,,,,,,,,,,
2103,02-01-0049-46,02-021,EL_PROGRESO,GUASTATOYA,CEEX_MUNICIPALIDAD_GUASTATOYA,ALDEA SANTA RITA,41398634,MARTA ELIDA CARIAS HERNANDEZ DE GARCIA,MARVIN RAMOS ORELLANA,DIVERSIFICADO,MUNICIPAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN_DE_SEMANA,EL PROGRESO,CEEX_MUNICIPALIDAD_GUASTATOYA | ABIERTA | FIN_DE_SEMANA | MONOLINGUE | DOBLE | EL_PROGRESO,
6116,03-04-0063-46,03-007,SACATEPEQUEZ,SUMPANGO,CENTREO_EDUCATIVO_INTEGRAL_GLOAMIEL_CAMPUS_ALTIPLANO,KILOMETRO 41 2-77 CARRETERA A SANTO DOMINGO XENACOJ,54606119,MIRNA LIZETH MONTENEGRO MEZA,HILDA GABRIELA GUZMAN PER,DIVERSIFICADO,PRIVADO,RURAL,CERRADA_TEMPORALMENTE,MONOLINGUE,DOBLE,FIN_DE_SEMANA,SACATEPÉQUEZ,CENTREO_EDUCATIVO_INTEGRAL_GLOAMIEL_CAMPUS_ALTIPLANO | CERRADA_TEMPORALMENTE | FIN_DE_SEMANA | MONOLINGUE | DOBLE | SACATEPEQUEZ,
6007,03-01-0164-46,03-010,SACATEPEQUEZ,ANTIGUA GUATEMALA,CENTRO_ACADEMICO_NUESTRA_EXCELENCIA_CANE,CALLE DE BELEN NO. 18,56971118,ZOILA ESTHELA JONFE OROZCO,ELVIA LORENA LOPEZ VILLAGRAN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN_DE_SEMANA,SACATEPÉQUEZ,CENTRO_ACADEMICO_NUESTRA_EXCELENCIA_CANE | ABIERTA | FIN_DE_SEMANA | MONOLINGUE | DOBLE | SACATEPEQUEZ,
1943,00-16-8611-46,01-505,CIUDAD_CAPITAL,ZONA 16,CENTRO_ACADEMICO_SANTA_VICTORIA,1AV. 2-27 CALLE REAL CONCEPCION LAS LOMAS,23640260,MARIA TERESA MILIAN AVILES,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA_TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIOREGULAR,GUATEMALA ORIENTE,CENTRO_ACADEMICO_SANTA_VICTORIA | CERRADA_TEMPORALMENTE | DIARIOREGULAR | MONOLINGUE | MATUTINA | CIUDAD_CAPITAL,
4072,13-18-6920-46,13-033,HUEHUETENANGO,SAN MATEO IXTATAN,CENTRO_COMUNITARIO_DE_EDUCACION_YINHATIL_NABEN_SEMILLA_DE_LA_SABIDURIA,SAN MATEO IXTATAN,45797537,AUGUSTO MANUEL ANDRÉS SEBASTIÁN,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA_TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIOREGULAR,HUEHUETENANGO,CENTRO_COMUNITARIO_DE_EDUCACION_YINHATIL_NABEN_SEMILLA_DE_LA_SABIDURIA | CERRADA_TEMPORALMENTE | DIARIOREGULAR | MONOLINGUE | DOBLE | HUEHUETENANGO,
3636,01-15-9415-46,01-411,GUATEMALA,VILLA NUEVA,CENTRO_CRISTIANO_EDUCACIONAL_VIDA,LOTE 10 MANZANA B RECIDENCIALES LLANO ALTO ZONA 6,66595398,JUAN ENRIQUE MARTINEZ SOLANO,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA_TEMPORALMENTE,MONOLINGUE,DOBLE,FIN_DE_SEMANA,GUATEMALA SUR,CENTRO_CRISTIANO_EDUCACIONAL_VIDA | CERRADA_TEMPORALMENTE | FIN_DE_SEMANA | MONOLINGUE | DOBLE | GUATEMALA,
3540,01-15-6187-46,01-213,GUATEMALA,VILLA NUEVA,CENTRO_CRISTIANO_EDUCACIONAL_VIDA_SA,SAN ANTONIO EL FRUTAL ZONA 6,66356712,ARGELIA DE JESUS ACOSTA SOSA,ISIS SAMANDA BARILLAS GUZMAN DE PACHECHO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIOREGULAR,GUATEMALA SUR,CENTRO_CRISTIANO_EDUCACIONAL_VIDA_SA | ABIERTA | DIARIOREGULAR | MONOLINGUE | MATUTINA | GUATEMALA,
3641,01-15-9501-46,01-219,GUATEMALA,VILLA NUEVA,CENTRO_CULTURAL_AVE_MARIA_DE_LA_ASUNCION,LOTE 33 RESIDENCIALES LA SELVA CIUDAD SAN CRISTOBAL ZONA 8,24786391,FLOR DE MARIA HERNANDEZ MOLINA,NA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIOREGULAR,GUATEMALA SUR,CENTRO_CULTURAL_AVE_MARIA_DE_LA_ASUNCION | ABIERTA | DIARIOREGULAR | MONOLINGUE | MATUTINA | GUATEMALA,
315,15-03-0778-46,15-008,BAJA_VERAPAZ,RABINAL,CENTRO_CULTURAL_DE_AMERICA,3 CALLE 2-87 ZONA 2,79388718,ALBERTO LEOPOLDO TUM GONZALEZ,FABIO RAXCACÓ ISMALEJ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIOREGULAR,BAJA VERAPAZ,CENTRO_CULTURAL_DE_AMERICA | ABIERTA | DIARIOREGULAR | MONOLINGUE | VESPERTINA | BAJA_VERAPAZ,
,,,,,,,,,,,,,,,,,,,
"3000,01-08-6584-46,01-609,GUATEMALA,MIXCO,CENTRO_CULTURAL_DE_AMERICA,""22 AVENIDA 2-11, ZONA 8, SAN CRISTOBAL II"",24854408-24854398,SILVIA HORTENSIA GONZALEZ MARTINEZ,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA_TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIOREGULAR,GUATEMALA OCCIDENTE,CENTRO_CULTURAL_DE_AMERICA | CERRADA_TEMPORALMENTE | DIARIOREGULAR | MONOLINGUE | MATUTINA | GUATEMALA,",,,,,,,,,,,,,,,,,,,
